kode_negara,negara,nama_indikator,kode_indikator,2017,2018,2019,2020
PHL,Philippines,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,22.3,22.5,22.6,22.7
PLW,Palau,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,19.4,19.7,19.8,19.8
PNG,Papua New Guinea,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,38.3,37.3,36.2,35.2
POL,Poland,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.0,3.9,3.8,3.8
PRE,Pre-demographic dividend,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,54.9009635136217,53.0125068089293,52.4421630353559,51.5352354471261
PRK,"Korea, Dem. People's Rep.","Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,15.4,14.8,14.3,14.1
PRT,Portugal,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.9,2.9,2.8,2.8
PRY,Paraguay,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,18.1,17.6,17.0,16.5
PSE,West Bank and Gaza,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,14.6,14.1,13.6,13.2
PSS,Pacific island small states,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,19.0774590354896,19.2835998936885,19.4930674817628,19.5113323609614
PST,Post-demographic dividend,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.2096051400372,4.18577737798877,4.12166747078415,4.10746058799424
QAT,Qatar,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.9,5.6,5.4,5.2
ROU,Romania,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.6,6.1,5.6,5.4
RUS,Russian Federation,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.5,5.1,4.8,4.6
RWA,Rwanda,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,32.7,32.2,31.7,31.3
SAS,South Asia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,31.9,30.3,28.9,27.6
SAU,Saudi Arabia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.4,6.0,5.7,5.4
SDN,Sudan,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,45.9,44.6,43.4,42.2
SEN,Senegal,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,36.3,35.7,34.8,33.7
SGP,Singapore,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.1,2.0,2.0,2.0
SLB,Solomon Islands,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,19.4,19.1,18.7,18.3
SLE,Sierra Leone,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,68.7,66.3,64.0,61.9
SLV,El Salvador,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,11.5,11.1,10.6,10.2
SMR,San Marino,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,1.6,1.6,1.5,1.4
SOM,"Somalia, Fed. Rep.","Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,96.5,85.1,75.0,72.9
SRB,Serbia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.1,4.9,4.8,4.7
SSA,Sub-Saharan Africa (excluding high income),"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,53.8859130644351,52.0470345826164,51.5346756705316,50.7033912395993
SSD,South Sudan,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,181.5,92.9,71.9,71.9
